date,timestamp,reportId,repeatedReportId,mark,firstByte,speedIndex,startRender,visuallyComplete,loadEventStart,fullyLoaded,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventEnd,weight_HTML,weight_CSS,weight_JAVASCRIPT,weight_IMAGE,weight_OTHER,weight,requests_HTML,requests_CSS,requests_JAVASCRIPT,requests_IMAGE,requests_OTHER,requests,BMA:FCP,Zone,Zone:ZoneAwarePromise,Zone:fetch,Zone:toString,Zone:util,Zone:timers,Zone:blocking,Zone:EventTarget,Zone:on_property,Zone:customElements,Zone:canvas,Zone:XHR,Zone:geolocation,Zone:PromiseRejectionEvent,BMA:FMP,BMA:TTI,repeatedFirstByte,repeatedSpeedIndex,repeatedStartRender,repeatedVisuallyComplete,repeatedLoadEventStart,repeatedFullyLoaded,repeatedResponseEnd,repeatedDomLoading,repeatedDomInteractive,repeatedDomContentLoadedEventStart,repeatedDomContentLoadedEventEnd,repeatedDomComplete,repeatedLoadEventEnd,repeatedWeight_HTML,repeatedWeight_CSS,repeatedWeight_JAVASCRIPT,repeatedWeight_IMAGE,repeatedWeight_OTHER,repeatedWeight,repeatedRequests_HTML,repeatedRequests_CSS,repeatedRequests_JAVASCRIPT,repeatedRequests_IMAGE,repeatedRequests_OTHER,repeatedRequests,repeatedBMA:FCP,repeatedZone,repeatedZone:ZoneAwarePromise,repeatedZone:fetch,repeatedZone:toString,repeatedZone:util,repeatedZone:timers,repeatedZone:blocking,repeatedZone:EventTarget,repeatedZone:on_property,repeatedZone:customElements,repeatedZone:canvas,repeatedZone:XHR,repeatedZone:geolocation,repeatedZone:PromiseRejectionEvent,repeatedBMA:FMP,repeatedBMA:TTI
14 Apr 10:06 am,1555232760,d_5cb2f845e967904c6f500b41,d_5cb2f845e967904c6f500b42,68,126,2481,567,3834,2990,10228,148,148,1859,1860,1861,2990,3004,37771,59770,1553025,252171,270355,2173092,28,1,30,58,58,175,402,469,470,471,471,471,471,472,472,506,532,532,532,532,533,2578,3051,34,2398,1367,3400,2516,4839,51,51,1371,1371,1372,2516,2518,1749,,,3235,17872,22856,2,,,7,16,25,126,189,190,191,191,191,191,192,192,237,284,284,284,285,285,1704,2425
14 Apr 11:06 am,1555236360,d_5cb30640e967904c6f50231a,d_5cb30641e967904c6f50231c,75,128,2537,567,4000,4030,7182,146,146,1786,1787,1787,4030,4043,25944,59770,1242544,236469,265541,1830268,14,1,13,33,46,107,366,452,454,455,455,456,456,456,456,493,518,519,519,519,519,2423,3452,,2469,1167,3234,3356,4902,11,11,1206,1206,1206,3355,3361,1746,,,2908,17090,21744,2,,,6,15,23,98,149,150,151,151,152,152,152,152,188,215,215,217,218,218,1646,2919
14 Apr 12:06 pm,1555239960,d_5cb31450e967904c6f503a79,d_5cb31450e967904c6f503a7a,75,125,2198,400,3634,2853,6987,147,147,1751,1751,1751,2853,2860,25981,59770,1242544,236440,266379,1831114,14,1,13,33,47,108,328,432,433,433,434,434,434,435,435,472,505,506,506,506,506,2379,2848,,2347,1067,3100,3012,4593,22,22,1118,1118,1119,3012,3015,1748,,,2918,17091,21757,2,,,6,15,23,88,136,137,138,138,138,138,139,139,176,208,209,209,209,210,1517,2763
14 Apr 1:06 pm,1555243560,d_5cb32262e967904c6f5051f5,d_5cb32262e967904c6f5051f7,75,128,2472,434,3700,2940,7783,142,142,1764,1764,1766,2940,2955,26861,59770,1242545,236706,266250,1832132,15,1,13,35,47,111,372,465,466,467,467,467,467,468,468,501,527,528,528,528,528,2514,3525,,2497,1300,3200,3222,4741,28,28,1293,1293,1294,3222,3225,1749,,,2918,17091,21758,2,,,6,15,23,110,161,162,162,162,163,163,163,163,215,295,296,296,296,297,1587,3071
14 Apr 2:06 pm,1555247160,d_5cb3306fe967904c6f506928,d_5cb33070e967904c6f50692a,75,128,2524,600,3734,4046,7124,151,151,1811,1811,1813,4045,4055,25952,59770,1242545,231768,265977,1826012,14,1,13,33,47,108,423,480,481,482,482,483,483,483,483,517,542,543,543,543,543,2482,3050,,2448,1167,3234,3289,4823,13,13,1224,1224,1227,3288,3291,1745,,,2918,17091,21754,2,,,6,15,23,87,143,144,145,145,145,145,146,146,186,227,228,228,228,229,1633,3121
14 Apr 3:06 pm,1555250760,d_5cb33e7fe967904c6f50807b,d_5cb33e7fe967904c6f50807c,75,132,2267,467,3700,2945,6982,149,149,1789,1790,1791,2944,2968,25275,59770,1247752,228416,266853,1828066,13,1,14,34,48,110,400,461,462,463,463,464,464,464,464,511,547,547,547,548,548,2514,3083,,2280,1200,3000,3040,4545,10,10,1221,1221,1222,3039,3042,5347,,,14763,17092,37202,4,,,7,15,26,99,151,152,152,152,153,153,153,154,181,205,205,206,206,206,1548,2729
14 Apr 4:06 pm,1555254360,d_5cb34c92e967904c6f50980f,d_5cb34c92e967904c6f509810,68,126,2057,400,3434,2878,10063,146,146,1788,1788,1789,2878,2892,37639,59770,1553356,238563,270372,2159700,28,1,30,58,58,175,362,445,446,447,447,448,448,448,448,476,499,499,500,500,500,2471,2897,35,2082,1167,2667,2490,4125,49,49,1165,1165,1166,2490,2492,5075,,,3235,17090,25400,3,,,7,15,25,119,172,173,174,174,175,175,175,176,203,255,256,256,256,257,1458,2444
14 Apr 5:06 pm,1555257960,d_5cb35aa8e967904c6f50b042,d_5cb35aa8e967904c6f50b044,75,133,2359,567,3367,3423,5810,148,148,1772,1773,1773,3423,3431,27002,59770,1242544,214250,266129,1809695,15,1,13,34,47,110,392,456,458,458,458,459,459,459,460,496,522,522,523,523,523,2438,3238,,1934,1100,2400,2395,3929,19,19,1174,1174,1174,2394,2398,1750,,,2918,17093,21761,2,,,6,15,23,76,97,98,98,98,98,98,100,100,151,201,201,201,201,201,1383,2358
14 Apr 6:06 pm,1555261560,d_5cb368e9e967904c6f50c8a9,d_5cb368eae967904c6f50c8ac,63,126,2276,434,3467,3503,7522,143,143,1785,1786,1786,3503,3509,27067,59770,1242544,222647,265432,1817460,16,1,13,35,46,111,379,462,463,464,464,465,465,465,465,499,524,524,525,525,525,2442,3245,,2321,1267,2967,3003,4538,17,17,1289,1290,1290,3003,3008,5074,,,2918,17092,25084,3,,,6,15,24,93,167,168,169,169,170,170,170,170,214,280,280,280,281,281,1600,2891
14 Apr 7:06 pm,1555265160,d_5cb376bfe967904c6f50dfc2,d_5cb376bfe967904c6f50dfc3,65,173,2249,467,3934,3373,6489,189,189,1747,1747,1748,3372,3380,26198,59770,1242544,220579,265961,1815052,15,1,13,33,47,109,363,472,473,473,474,474,474,475,475,507,529,530,530,530,531,2370,2768,34,2157,1134,4767,2777,4416,52,52,1122,1122,1123,2777,2784,5079,,,2918,17091,25088,3,,,6,15,24,126,170,171,172,172,172,172,173,173,203,230,230,230,231,231,1499,2393
14 Apr 8:06 pm,1555268760,d_5cb384ece967904c6f50f799,d_5cb384ede967904c6f50f79a,59,132,2407,567,10134,3058,10884,147,147,1784,1785,1786,3058,3077,38031,59770,1553402,247098,270392,2168693,29,1,30,60,58,178,352,446,447,447,448,448,448,449,449,483,509,510,510,510,510,2571,3087,,2476,1300,3167,3236,4773,14,14,1312,1312,1312,3235,3238,1750,,,15326,17091,34167,2,,,7,15,24,110,164,164,165,165,166,166,166,167,218,350,351,351,355,356,1617,3125
14 Apr 9:06 pm,1555272360,d_5cb392dee967904c6f510f4d,d_5cb392dee967904c6f510f4e,65,127,2396,367,4100,3738,6697,143,143,1728,1729,1729,3737,3748,26200,59770,1242545,225044,265369,1818928,15,1,13,34,46,109,331,442,443,443,444,444,444,445,445,477,507,507,507,508,508,2465,3510,,2276,1167,3200,2917,4457,9,9,1219,1220,1220,2917,2921,5078,,,2918,17092,25088,3,,,6,15,24,101,149,150,150,150,151,151,152,152,187,213,213,214,214,214,1622,2794
14 Apr 10:06 pm,1555275960,d_5cb3a0f2e967904c6f512623,d_5cb3a0f3e967904c6f512625,68,130,2171,400,3367,2807,10544,151,151,1720,1721,1721,2807,2815,37680,59770,1553352,234371,270284,2155457,28,1,30,59,58,176,327,428,429,429,430,430,430,431,431,476,501,501,504,504,504,2376,2832,,2103,1200,2634,2759,4484,13,13,1191,1191,1192,2759,2763,5073,,,2918,17093,25084,3,,,6,15,24,201,248,249,250,250,251,251,251,252,276,299,300,300,300,301,1543,2508
14 Apr 11:06 pm,1555279560,d_5cb3af01e967904c6f513bd9,d_5cb3af01e967904c6f513bda,75,158,2236,500,3400,3442,6543,172,172,1805,1806,1806,3441,3450,25974,59770,1242545,211890,265428,1805607,14,1,13,32,46,106,390,479,480,481,481,481,482,482,482,519,547,547,547,548,548,2454,2953,,2036,1134,2567,2608,4133,12,12,1174,1174,1175,2608,2612,1741,,,2918,17089,21748,2,,,6,15,23,90,144,145,146,146,146,146,147,147,183,208,209,209,209,210,1484,2505
